ntacode,ntaname,income
QN01,South Jamaica,71041
MN13,Hudson Yards-Chelsea-Flatiron-Union Square,101369
BX13,Co-op City,59549
BX59,Westchester-Unionport,45536
BK88,Borough Park,35754
BK79,Ocean Hill,33125
MN35,Washington Heights North,50192
BX30,Kingsbridge Heights,41756
QN54,Richmond Hill,58473
QN41,Fresh Meadows-Utopia,69525
SI54,Great Kills,88868
MN22,East Village,72665
MN19,Turtle Bay-East Midtown,113998
BX37,Van Nest-Morris Park-Westchester Square,44588
BK93,Starrett City,39770
QN72,Steinway,60618
BK42,Flatbush,45332
BK76,Greenpoint,67928
SI25,Oakwood-Oakwood Beach,84525
SI08,Grymes Hill-Clifton-Fox Hills,85385
SI07,Westerleigh,92274
QN35,Briarwood-Jamaica Hills,58564
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,51314
BX99,park-cemetery-etc-Bronx,-1
BK29,Bensonhurst East,45108
BK95,Erasmus,40681
MN25,Battery Park City-Lower Manhattan,125434
BK26,Gravesend,35550
QN26,North Corona,46568
BK90,East Williamsburg,76291
QN33,Cambria Heights,946500
BX41,Mount Hope,26195
SI01,Annadale-Huguenot-Prince's Bay-Eltingville,102204
QN60,Kew Gardens,65035
BK23,West Brighton,32413
MN36,Washington Heights South,50192
MN32,Yorkville,98840
BK83,Cypress Hills-City Line,40432
QN62,Queensboro Hill,53836
BK43,Midwood,43687
MN14,Lincoln Square,120337
BK34,Sunset Park East,40165
QN37,Kew Gardens Hills,61348
SI24,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,84545
QN20,Ridgewood,49776
BK25,Homecrest,47882
MN50,Stuyvesant Town-Cooper Village,95022
SI48,Arden Heights,100183
BX14,East Concourse-Concourse Village,27883
QN46,Bayside-Bayside Hills,79120
QN05,Rosedale,89730
MN04,Hamilton Heights,39019
QN56,Ozone Park,65786
QN12,Hammels-Arverne-Edgemere,36558
BK69,Clinton Hill,66282
QN63,Woodside,50952
QN31,Hunters Point-Sunnyside-West Maspeth,85030
QN10,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,74718
MN11,Central Harlem South,42366
SI22,West New Brighton-New Brighton-St. George,53925
BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,206368
MN33,East Harlem South,32857
QN47,Ft. Totten-Bay Terrace-Clearview,89462
QN66,Laurelton,102592
SI99,park-cemetery-etc-Staten Island,-1
BK35,Stuyvesant Heights,37082
BK33,Carroll Gardens-Columbia Street-Red Hook,85496
SI45,New Dorp-Midland Beach,79069
SI36,Old Town-Dongan Hills-South Beach,80910
BX07,Bronxdale,40403
BX98,Rikers Island,-1
SI37,Stapleton-Rosebank,56462
QN43,Bellerose,103280
BK68,Fort Greene,61990
SI05,New Springville-Bloomfield-Travis,86260
MN15,Clinton,73591
QN06,Jamaica Estates-Holliswood,77192
BK21,Seagate-Coney Island,37241
BX05,Bedford Park-Fordham North,29549
BK09,Brooklyn Heights-Cobble Hill,105398
BX29,Spuyten Duyvil-Kingsbridge,51293
MN12,Upper West Side,92268
QN22,Flushing,39840
BK28,Bensonhurst West,45108
MN01,Marble Hill-Inwood,39003
BK60,Prospect Lefferts Gardens-Wingate,42462
QN15,Far Rockaway-Bayswater,38641
BK72,Williamsburg,103280
BK82,East New York,32973
QN44,Glen Oaks-Floral Park-New Hyde Park,109276
BK61,Crown Heights North,37104
BX36,University Heights-Morris Heights,25073
QN23,College Point,58420
QN18,Rego Park,50871
MN23,West Village,112689
QN30,Maspeth,56689
QN34,Queens Village,99500
QN53,Woodhaven,61804
QN50,Elmhurst-Maspeth,55881
QN61,Jamaica,42763
BX33,Longwood,22572
BK85,East New York (Pennsylvania Ave),32973
MN06,Manhattanville,29182
QN45,Douglas Manor-Douglaston-Little Neck,77539
QN07,Hollis,42763
QN51,Murray Hill,52696
MN20,Murray Hill-Kips Bay,97458
MN40,Upper East Side-Carnegie Hill,155213
MN03,Central Harlem North-Polo Grounds,42366
BK27,Bath Beach,55193
BX34,Melrose South-Mott Haven North,22537
BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,106639
QN42,Oakland Gardens,88234
BK41,Kensington-Ocean Parkway,47483
MN24,SoHo-TriBeCa-Civic Center-Little Italy,118931
SI14,Grasmere-Arrochar-Ft. Wadsworth,83370
QN17,Forest Hills,67881
BK30,Dyker Heights,54752
BX39,Mott Haven-Port Morris,22537
QN52,East Flushing,55971
BK91,East Flatbush-Farragut,50889
BK37,Park Slope-Gowanus,101784
BX10,Pelham Bay-Country Club-City Island,61192
BX01,Claremont-Bathgate,29476
BK81,Brownsville,32940
QN21,Middle Village,69763
BX52,Schuylerville-Throgs Neck-Edgewater Park,67549
BX08,West Farms-Bronx River,39347
BX46,Parkchester,44588
BX63,West Concourse,27637
SI32,Rossville-Woodrow,88868
BX31,Allerton-Pelham Gardens,79750
QN28,Jackson Heights,48869
QN19,Glendale,64178
MN27,Chinatown,35908
QN48,Auburndale,70772
QN38,Pomonok-Flushing Heights-Hillcrest,69441
BK63,Crown Heights South,41745
BX22,North Riverdale-Fieldston-Riverdale,78895
BX03,Eastchester-Edenwald-Baychester,59018
BX75,Crotona Park East,29382
BK46,Ocean Parkway South,47483
SI12,Mariner's Harbor-Arlington-Port Ivory-Graniteville,64284
BX26,Highbridge,23334
QN71,Old Astoria,54882
BK40,Windsor Terrace,82297
BK31,Bay Ridge,57980
BK50,Canarsie,60766
BX35,Morrisania-Melrose,22537
BX06,Belmont,29382
BK64,Prospect Heights,84323
QN02,Springfield Gardens North,81471
BK58,Flatlands,64519
MN21,Gramercy,100900
MN17,Midtown-Midtown South,114491
BK19,Brighton Beach,38047
QN29,Elmhurst,47863
QN55,South Ozone Park,57849
BK77,Bushwick North,40296
SI28,Port Richmond,61952
MN28,Lower East Side,31273
QN08,St. Albans,42763
BX28,Van Cortlandt Village,40669
BX40,Fordham South,29549
QN27,East Elmhurst,47863
BK32,Sunset Park West,40165
MN09,Morningside Heights,56371
BK75,Bedford,37343
QN49,Whitestone,80546
MN99,park-cemetery-etc-Manhattan,-1
BX44,Williamsbridge-Olinville,56266
BK73,North Side-South Side,61381
BK78,Bushwick South,40296
QN98,Airport,-1
QN68,Queensbridge-Ravenswood-Long Island City,74950
BX62,Woodlawn-Wakefield,56266
SI35,New Brighton-Silver Lake,83546
SI11,Charleston-Richmond Valley-Tottenville,88868
BK99,park-cemetery-etc-Brooklyn,-1
BX55,Soundview-Bruckner,36129
QN76,Baisley Park,59357
BX49,Pelham Parkway,47806
BX27,Hunts Point,22572
QN03,Springfield Gardens South-Brookville,81471
QN99,park-cemetery-etc-Queens,-1
BX17,East Tremont,29382
BK44,Madison,55840
QN25,Corona,44026
BX09,Soundview-Castle Hill-Clason Point-Harding Park,36129
QN70,Astoria,54882
BK96,Rugby-Remsen Village,44027
QN57,Lindenwood-Howard Beach,88540
BX43,Norwood,35319
MN34,East Harlem North,32857
MN31,Lenox Hill-Roosevelt Island,147846
